연번,요일구분,호선,역번호,출발역,상하구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-00시,00시-01시
1282,일요일,3,322,동대입구,하선,9.65,7.9,13.6,21.05,26.5,28.25,28,31.05,32.7,34.05,36.85,38.4,34.15,25.65,23.65,17.75,18,10.9,3.65,
1283,일요일,3,323,약수,하선,12.85,9.55,14.7,24.85,30.5,31.2,32.45,35.15,35.95,36.85,39.3,41.05,36.2,28.7,24.9,19.85,19.25,11.55,4.75,
1284,일요일,3,324,금호,하선,13.1,9.8,14.35,24.75,30.45,31.9,32.7,34.9,35.15,37.25,38.6,40.8,37.2,27.95,24.15,19.3,18.6,11.1,4.45,
1285,일요일,3,325,옥수,하선,13.8,11,15.35,27.1,33.75,35.4,34.95,38,37.25,39.65,40.2,42.4,39.2,28.85,24.95,20.1,19.15,11.15,4.3,
1286,일요일,3,326,압구정,하선,8.85,9.5,12.9,22.8,28.75,31.25,32.45,36.2,37.15,39.2,41,42.65,40.3,30.2,26.8,24.25,21.25,12.85,3.8,
1287,일요일,3,327,신사,하선,8.3,8.45,11.25,17.9,22.6,25.15,25.85,31.35,31,32.85,34.3,37.05,34.9,25.95,24.25,22.8,20.45,13.15,3.35,
1288,일요일,3,328,잠원,하선,8.4,8.4,11.45,18.4,22.85,25.45,26.05,31.45,31.25,32.9,34.3,37.3,34.9,26.1,24.1,22.7,20.4,12.95,3.25,
1289,일요일,3,329,고속터미널,하선,8.5,9,12.6,21.2,25.75,25.9,27.7,32.65,32.15,33.15,33.1,37.15,35.85,29.95,28.15,26.15,22.2,15,3.5,
1290,일요일,3,330,교대,하선,10.15,8.35,11,17.8,20.4,20.7,21.8,25.45,27.7,27.65,28.2,29.5,30,25.25,23.8,20.4,17.7,12.35,3.1,
1291,일요일,3,331,남부터미널,하선,8.1,6.35,8.55,15.4,16.4,17.45,18.35,19.95,19.95,21,22.55,24.1,24.45,20.95,19.8,18.25,16.05,10.5,3.25,
1292,일요일,3,332,양재,하선,6.15,4.05,6.15,11.4,13.05,12.35,14.6,16.65,15.2,17.95,18.55,20.55,19.75,17.6,15.9,14.7,13,8.1,3.6,
1293,일요일,3,333,매봉,하선,5.6,3.65,5.8,10.8,12.45,11.4,13.65,16.1,14.4,17.15,17.9,19.7,19.25,16.9,15.3,14.05,12.6,8.6,2.85,
1294,일요일,3,334,도곡,하선,4.85,3.25,5,9.2,11.3,9.75,11.75,14.3,12.8,14.75,15,16.5,17.25,14.3,12.95,11.7,11,7.3,2.1,
